iter,pi-lip_w=True_CPLip=True,pi-weights_w=True_CPLip=True,pi-lip_w=True_CPLip=False,pi-weights_w=True_CPLip=False,pi-lip_w=False_CPLip=True,pi-weights_w=False_CPLip=True,pi-lip_w=False_CPLip=False,pi-weights_w=False_CPLip=False,V-lip_w=True_CPLip=True,V-weights_w=True_CPLip=True,V-lip_w=True_CPLip=False,V-weights_w=True_CPLip=False,V-lip_w=False_CPLip=True,V-weights_w=False_CPLip=True,V-lip_w=False_CPLip=False,V-weights_w=False_CPLip=False
0,2.7399483,[0.9968952 1.       ],4.305591,[0.9968952 1.       ],7.835226,,20.416754,,19.763943,[0.99999994 0.9867745 ],54.753315,[0.99999994 0.9867745 ],48.465,,158.18369,
1,2.7399483,[0.9968952 1.       ],4.305591,[0.9968952 1.       ],7.835226,,20.416754,,7614.0737,[1.        0.6893547],12204.23,[1.        0.6893547],9711.777,,17901.58,
2,2.7399483,[0.9968952 1.       ],4.305591,[0.9968952 1.       ],7.835226,,20.416754,,16839.29,[1.        0.6336863],28499.6,[1.        0.6336863],22622.156,,43719.24,
3,2.5413208,[1.        0.9999611],4.2184553,[1.        0.9999611],7.378773,,19.717392,,21767.902,[1.         0.58186215],37639.26,[1.         0.58186215],31055.227,,61977.03,
4,2.4842856,[1.         0.99998534],4.1271787,[1.         0.99998534],7.146752,,19.078655,,23996.611,[1.        0.5516147],42097.203,[1.        0.5516147],35248.035,,72077.734,
5,2.4309044,[1.         0.99999046],4.0031276,[1.         0.99999046],6.971886,,18.510612,,24061.84,[1.         0.54822475],42575.094,[1.         0.54822475],38680.723,,83882.06,
6,2.3672311,[0.99999994 0.9999393 ],3.881037,[0.99999994 0.9999393 ],6.7734876,,17.912216,,23810.88,[0.99999994 0.5484154 ],42502.742,[0.99999994 0.5484154 ],42385.727,,97149.44,
7,2.2917128,[0.9999905 1.       ],3.752493,[0.9999905 1.       ],6.56223,,17.308289,,23650.72,[1.        0.5470533],42567.758,[1.        0.5470533],45394.734,,107838.19,
8,2.203606,[1.       0.999954],3.619761,[1.       0.999954],6.3271976,,16.688566,,23284.084,[1.        0.5479036],42331.63,[1.        0.5479036],47949.754,,117469.69,
9,2.0988297,[1.         0.99995804],3.4761438,[1.         0.99995804],6.0682225,,16.053804,,22927.045,[1.        0.5487099],42162.164,[1.        0.5487099],51111.336,,129454.45,
10,1.9680547,[0.99999994 0.9998837 ],3.312443,[0.99999994 0.9998837 ],5.783002,,15.443087,,22790.695,[1.         0.54804283],42145.98,[1.         0.54804283],53120.32,,135870.4,
11,1.8066514,[1.        0.9999992],3.118196,[1.        0.9999992],5.4527807,,14.753501,,22767.137,[1.       0.544692],42130.203,[1.       0.544692],53772.586,,138155.61,
12,1.6243219,[1.       0.999919],2.8526077,[1.       0.999919],5.0690455,,13.832951,,22449.576,[1.        0.5468715],41645.477,[1.        0.5468715],53637.777,,138419.34,
13,1.4263098,[0.9999639 1.       ],2.5381417,[0.9999639 1.       ],4.6429024,,12.812866,,22407.826,[1.0000001  0.54832226],41790.293,[1.0000001  0.54832226],54046.07,,140327.7,
14,1.2077483,[0.9999648 1.       ],2.1923573,[0.9999648 1.       ],4.1831255,,11.727751,,22102.523,[1.        0.5508435],41261.223,[1.        0.5508435],53671.215,,139601.14,
15,0.97821915,[0.9999227 1.       ],1.8307548,[0.9999227 1.       ],3.6722326,,10.506995,,22386.518,[1.        0.5523293],41419.66,[1.        0.5523293],54286.363,,141083.31,
16,0.7485431,[0.99990046 1.        ],1.4650661,[0.99990046 1.        ],3.1192153,,9.155495,,22179.898,[1.        0.5519685],41051.637,[1.        0.5519685],54471.34,,142430.64,
17,0.5404254,[1.         0.99992585],1.1198568,[1.         0.99992585],2.56765,,7.7566004,,21983.783,[1.        0.5547469],40688.637,[1.        0.5547469],55154.7,,145707.42,
18,0.49816215,[1.        0.9999265],1.0472219,[1.        0.9999265],2.4473495,,7.4442496,,21707.383,[1.        0.5579775],40226.934,[1.        0.5579775],56216.746,,149718.78,
19,0.49816224,[1.        0.9999267],1.0472218,[1.        0.9999267],2.4475522,,7.445059,,22066.803,[1.         0.55916995],40492.562,[1.         0.55916995],59065.406,,157457.0,
20,0.4981623,[1.        0.9999269],1.0472219,[1.        0.9999269],2.4476314,,7.4453754,,22081.686,[1.        0.5553363],40773.785,[1.        0.5553363],60807.7,,163350.23,
21,0.49816248,[1.         0.99992687],1.0472219,[1.         0.99992687],2.4477289,,7.4457645,,21929.99,[1.         0.55960774],40535.1,[1.         0.55960774],65018.0,,176853.55,
22,0.49816188,[1.         0.99992996],1.0472213,[1.         0.99992996],2.4482138,,7.4477005,,21704.86,[1.        0.5642781],40148.836,[1.        0.5642781],69183.09,,190397.31,
23,0.49818376,[0.9999292 1.       ],1.0473027,[0.9999292 1.       ],2.4504285,,7.4564934,,21474.541,[1.        0.5690137],39690.062,[1.        0.5690137],71556.37,,198556.6,
24,0.49839002,[0.99968547 1.        ],1.0477742,[0.99968547 1.        ],2.4528778,,7.4662333,,21864.777,[1.        0.5669269],40100.586,[1.        0.5669269],72791.03,,201440.55,
25,0.49962312,[0.9986268 1.       ],1.0501989,[0.9986268 1.       ],2.4576864,,7.484744,,21708.717,[1.        0.5712404],39802.727,[1.        0.5712404],73467.3,,204272.28,
26,0.49814075,[1.        0.9997606],1.0513369,[1.        0.9997606],2.447441,,7.4692683,,21479.283,[1.        0.5728919],39385.383,[1.        0.5728919],73188.695,,204100.06,
27,0.49474576,[0.99999994 0.99401665],1.0465155,[0.99999994 0.99401665],2.4292998,,7.4366665,,21594.01,[1.        0.5701867],39783.473,[1.        0.5701867],73561.1,,205686.31,
28,0.4948153,[0.9706713 1.       ],1.0510681,[0.9706713 1.       ],2.4348247,,7.4842024,,21442.498,[1.         0.57195836],39509.4,[1.         0.57195836],73696.516,,206529.27,
29,0.4822159,[0.9930637 1.       ],1.0170484,[0.9930637 1.       ],2.3782167,,7.302583,,21251.438,[0.99999994 0.57398695],39154.44,[0.99999994 0.57398695],73379.77,,206020.56,
30,0.48831907,[0.98742497 1.        ],1.0222411,[0.98742497 1.        ],2.3862371,,7.3231826,,21577.111,[0.99999994 0.56952053],39640.656,[0.99999994 0.56952053],74101.59,,207818.69,
31,0.4964116,[0.980752 1.      ],1.0318611,[0.980752 1.      ],2.3975914,,7.352918,,21428.994,[1.        0.5701223],39385.793,[1.        0.5701223],73525.484,,206348.38,
32,0.47323838,[1.        0.9970353],0.9929647,[1.        0.9970353],2.320686,,7.14122,,21224.29,[1.        0.5704297],39054.8,[1.        0.5704297],73241.88,,205965.88,
33,0.4791199,[1.        0.9999309],0.99699926,[1.        0.9999309],2.3289897,,7.1568294,,21392.008,[1.         0.56601757],39372.387,[1.         0.56601757],72703.65,,204395.66,
34,0.4857207,[0.9977648 1.       ],1.0025777,[0.9977648 1.       ],2.3391118,,7.1772647,,21245.07,[1.         0.56248456],39119.953,[1.         0.56248456],72437.516,,203898.25,
35,0.4743433,[1.       0.987141],0.9774159,[1.       0.987141],2.2706268,,6.9937415,,21504.504,[1.         0.55860287],39641.49,[1.         0.55860287],72821.97,,204741.9,
36,0.47940513,[1.0000001  0.98878527],0.9806721,[1.0000001  0.98878527],2.2824776,,7.01201,,21384.031,[1.         0.55935085],39445.633,[1.         0.55935085],72397.28,,203659.39,
37,0.49837288,[1.        0.9929895],0.99132496,[1.        0.9929895],2.3153741,,7.063319,,21227.348,[1.         0.55925405],39169.69,[1.         0.55925405],71898.914,,202408.67,
38,0.47605234,[0.96559304 0.99999994],0.9320143,[0.96559304 0.99999994],2.243729,,6.906247,,21019.293,[1.        0.5598545],38788.03,[1.        0.5598545],71298.93,,201025.28,
39,0.46505293,[0.9782015 1.       ],0.9104182,[0.9782015 1.       ],2.2212112,,6.809822,,20736.863,[1.       0.559928],38272.34,[1.       0.559928],70472.93,,198983.28,
40,0.4731544,[0.9803462  0.99999994],0.91695696,[0.9803462  0.99999994],2.230974,,6.813303,,21301.264,[1.        0.5467924],39316.34,[1.        0.5467924],70611.58,,198453.2,
41,0.47526538,[0.99393934 1.        ],0.89691323,[0.99393934 1.        ],2.2213213,,6.7418156,,21210.453,[1.       0.547051],39146.902,[1.       0.547051],70552.81,,198584.23,
42,0.4813995,[1.        0.9984356],0.8877621,[1.        0.9984356],2.2112193,,6.673534,,21095.762,[1.        0.5466034],38926.78,[1.        0.5466034],70009.55,,197020.34,
43,0.48924285,[1.         0.99223053],0.88046366,[1.         0.99223053],2.1900897,,6.5936103,,20938.727,[1.        0.5468222],38649.06,[1.        0.5468222],69526.875,,195741.8,
44,0.48255926,[1.        0.9720717],0.8801937,[1.        0.9720717],2.1321566,,6.4541116,,20724.71,[1.        0.5482943],38271.22,[1.        0.5482943],69249.21,,195367.14,
45,0.48267126,[1.         0.97322774],0.8803534,[1.         0.97322774],2.134545,,6.4600863,,21038.518,[1.         0.54380256],38577.86,[1.         0.54380256],69326.086,,194619.31,
46,0.48315594,[1.        0.9745578],0.88119346,[1.        0.9745578],2.1365032,,6.463734,,21114.05,[1.        0.5371457],39026.26,[1.        0.5371457],69294.02,,194983.19,
47,0.48542807,[1.        0.9771033],0.8852488,[1.        0.9771033],2.1398287,,6.468588,,21032.387,[1.        0.5364874],38885.082,[1.        0.5364874],68813.98,,193414.06,
48,0.4922652,[1.         0.97997326],0.8973653,[1.         0.97997326],2.1443605,,6.474233,,20922.484,[1.         0.53645384],38687.555,[1.         0.53645384],68522.04,,192777.61,
49,0.48802802,[1.0000001  0.96475047],0.9020336,[1.0000001  0.96475047],2.0973678,,6.3735633,,20767.465,[1.        0.5364092],38413.47,[1.        0.5364092],68322.07,,192565.19,
50,0.48776624,[1.         0.96680903],0.90042764,[1.         0.96680903],2.0999293,,6.3788133,,20563.502,[1.        0.5370711],38052.996,[1.        0.5370711],68348.445,,193314.6,
51,0.48856607,[1.         0.96868217],0.9015759,[1.         0.96868217],2.1031103,,6.384296,,20795.242,[1.         0.53148425],38416.926,[1.         0.53148425],68068.85,,192222.14,
52,0.49093467,[1.         0.97034496],0.9052044,[1.         0.97034496],2.106776,,6.3875947,,21011.973,[1.        0.5276952],38936.938,[1.        0.5276952],68096.08,,191797.92,
53,0.49240047,[1.         0.96361035],0.9144175,[1.         0.96361035],2.0925114,,6.3697667,,20934.914,[1.        0.5287478],38786.926,[1.        0.5287478],67832.56,,191125.45,
54,0.49150145,[1.        0.9618562],0.9143891,[1.        0.9618562],2.0814357,,6.340068,,20819.756,[1.         0.53063416],38591.74,[1.         0.53063416],67915.02,,191867.19,
55,0.49587804,[1.        0.9640647],0.9195167,[1.        0.9640647],2.090905,,6.3617616,,20661.725,[1.         0.53216964],38314.582,[1.         0.53216964],67650.625,,191517.4,
56,0.49665922,[1.         0.96541077],0.92569715,[1.         0.96541077],2.0931652,,6.3542795,,20435.607,[1.       0.532962],37918.02,[1.       0.532962],67454.61,,191626.88,
57,0.481978,[1.         0.98632514],0.9221522,[1.         0.98632514],2.088018,,6.3964434,,20873.092,[1.       0.527315],38463.195,[1.       0.527315],68179.84,,192895.45,
58,0.48510858,[1.         0.98851204],0.92502564,[1.         0.98851204],2.0942163,,6.4079304,,20744.26,[1.        0.5275188],38252.445,[1.        0.5275188],68130.05,,193150.88,
59,0.49091318,[1.        0.9918012],0.9293374,[1.        0.9918012],2.1027102,,6.421761,,20813.422,[1.        0.5211277],38708.543,[1.        0.5211277],68171.27,,194122.28,
60,0.4998965,[0.9963547 1.       ],0.9401616,[0.9963547 1.       ],2.0957074,,6.364124,,20730.807,[1.         0.51985717],38555.48,[1.         0.51985717],67036.42,,190511.73,
61,0.53611827,[1.        0.9873116],0.98298186,[1.        0.9873116],2.5332737,,7.4901195,,20660.79,[1.         0.51587945],38478.06,[1.         0.51587945],66184.664,,188440.47,
62,0.55500627,[1.        0.9542971],1.0089302,[1.        0.9542971],2.555417,,7.478101,,20627.38,[1.        0.5117854],38442.938,[1.        0.5117854],65823.484,,187685.97,
63,0.52213836,[1.         0.99921626],0.9627495,[1.         0.99921626],2.5183244,,7.4601583,,20586.107,[1.        0.5115791],38370.363,[1.        0.5115791],66127.96,,188851.62,
