#{"t_start": 1701265549.2594922, "env_id": "Pendulum-v1"}
r,l,t
-747.871098,200,0.643325
-873.598244,200,0.768775
-1129.130464,200,1.361692
-887.300098,200,1.53165
-938.164736,200,1.681973
-1724.196281,200,1.787487
-856.723307,200,1.985556
-909.329072,200,2.10287
-1355.739683,200,2.230214
-972.17619,200,2.358898
-1314.338003,200,3.704246
-1389.92406,200,3.799984
-897.341706,200,3.903432
-1493.951252,200,3.983935
-1322.534557,200,4.059372
-1759.495498,200,4.141409
-1285.738429,200,4.219744
-873.366131,200,4.294457
-891.080591,200,4.394764
-907.253086,200,4.496071
-1362.411526,200,5.505452
-1319.79312,200,5.60429
-1477.776913,200,5.707683
-1621.064721,200,5.799251
-918.217818,200,5.932088
-1168.3642,200,6.053404
-905.735113,200,6.192389
-879.858937,200,6.320401
-938.179347,200,6.421482
-1045.901009,200,6.538518
